date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-01-15,-0.22,-3.12,1.77,0.00,1.97,0.02,0.00,0.00,0.10,23.53,1.05,11.09,24.30,19.38,16.20,90.55,1368.00,0.00,1393.00,11.02,3.40,0.00,37.27,5.67,-5923.00,-184316.00,-47269.00,0.00,-24766.00,1334.00,-47.10,0.00,1413.00,-47155.00,-55183.00,-716034.00
2023-01-16,-0.16,-0.43,4.09,0.00,2.44,7.38,0.84,0.61,0.20,14.94,3.53,11.24,34.70,26.28,17.00,1261.00,3457.00,0.17,1732.00,3606.00,910.80,534.70,164.71,109.98,11842.00,36427.00,-447718.00,19.40,266086.00,896415.00,123580.00,96868.00,25190.00,1457688.00,352080.00,1062996.00
2023-01-17,-0.25,-4.73,2.61,0.02,1.29,10.19,0.15,0.43,0.18,28.78,2.92,6.37,35.60,26.89,21.10,778.80,1974.00,31.09,912.10,5080.00,180.90,375.80,130.73,68.48,7099.00,218393.00,-330533.00,2868.00,96420.00,809913.00,13925.00,56449.00,18177.00,1618460.00,82179.00,220636.00
2023-01-18,-0.23,-2.23,3.84,0.29,1.67,5.13,0.06,0.00,0.19,22.60,1.51,6.05,21.20,18.85,15.60,1057.00,3170.00,423.40,1180.00,2538.00,51.87,0.00,111.82,52.76,1081.00,-66555.00,-425945.00,8016.00,56667.00,653771.00,7149.00,0.00,5239.00,522707.00,-16670.00,-23366.00
2023-01-19,-0.23,-5.14,0.06,0.38,1.97,0.02,0.00,0.00,0.09,26.56,2.12,12.34,21.80,17.06,14.30,4.18,46.95,553.20,1394.00,8.25,3.34,0.00,45.05,-8.50,-7494.00,-217207.00,-4131.00,-3544.00,-44992.00,-999.10,-85.83,0.00,-245.70,-257889.00,-133061.00,-755656.00
2023-01-20,-0.17,-2.17,0.58,0.32,1.69,0.94,0.00,0.00,0.12,20.62,3.29,11.12,24.30,18.16,13.20,46.61,491.50,463.00,1194.00,445.50,3.33,4.01,55.37,43.61,-2160.00,-20912.00,-33074.00,12552.00,32156.00,74816.00,101.80,358.70,4181.00,990086.00,-62552.00,-298929.00
2023-01-21,-0.15,-4.86,1.04,0.34,1.66,1.47,0.00,0.00,0.17,20.74,3.30,12.40,26.60,20.15,15.80,131.20,1003.00,494.60,1172.00,696.90,3.28,0.00,59.05,45.00,-2185.00,-192262.00,-90352.00,11186.00,15609.00,134215.00,84.13,0.00,11654.00,742999.00,-136882.00,-592536.00
2023-01-22,-0.19,-4.08,0.43,0.28,1.64,2.36,0.00,0.16,0.11,21.32,3.03,12.19,29.30,22.04,15.30,36.94,362.40,409.60,1162.00,1117.00,3.29,140.70,68.92,49.35,-4375.00,-47095.00,-25659.00,13449.00,19741.00,223846.00,90.27,18313.00,9017.00,1003171.00,-116358.00,-595212.00
2023-01-23,-0.17,-1.65,3.09,0.32,0.88,7.34,0.41,0.23,0.15,18.55,2.65,9.60,31.80,23.50,16.30,644.60,2856.00,462.50,625.30,3566.00,390.70,200.80,130.72,106.73,6884.00,128500.00,-354743.00,32976.00,48439.00,942522.00,59136.00,35111.00,17912.00,1873249.00,138249.00,571965.00
2023-01-24,-0.21,-0.94,1.63,0.21,0.31,7.35,0.70,0.51,0.10,16.32,3.42,12.07,28.80,22.53,16.60,297.60,1602.00,307.10,219.80,3588.00,512.70,449.70,123.85,93.59,14915.00,57541.00,-171649.00,18758.00,20747.00,744667.00,56719.00,33126.00,8925.00,1543163.00,221782.00,848295.00
